,0
0,"“Russian tanks and missiles continue killing peaceful Ukrainians! @ASUS, Russians have no moral right to use your brilliant"
1,"technology! It's for peace, not for war!"" Fedrov said in a tweet preceding the letter."
2,This is the first Taiwanese multinational corporation directly called on by Ukrainian senior officials to cut business ties with
3,Russia in relation to the invasion.
4,"A review of Fedorov's Twitter activity shows that since Russia's invasion, he has publicly called on a range of high-profile"
5,"companies - including Microsoft, Apple, Google, Visa, Mastercard and Netflix - to ban Russian access to their products and"
6,services
7,"CNN reached out to ASUS for comment. According to Taiwan's state-run Central News Agency, ASUS said earlier on Saturday it"
8,“would not respond at this time.”
9,"Last Tuesday, Taiwan senior officials said it will join moves to block some Russian banks from the SWIFT international payments"
10,"system, and it will “scrutinize” products exported to Russia in accordance with the Wassenaar Arrangement - which regulates"
11,export controls for weapons and dual-use goods and technologies - and won't permit such exports “unless there are legitimate
12,reasons.”
13,RELATED
14,Here are the companies pulling back from Russia
15,b
16,"9:44 a.m. ET, March 12, 2022"
17,French and German leaders urge immediate ceasefire in call with Putin
18,From CNN's Nadine Schmidt in Berlin
19,G7 GERMANY ee
20,"German Chancellor Olaf Scholz, left, and French President Emmanuel Macron attend a joint press conference on February 8, in Berlin, Germany. (Thibault"
21,‘Camus/Pool/AFP/Getty Images)
22,German Chancellor Olaf Scholz and French President Emmanuel Macron urged Russian President Vladimir Putin to call an
23,immediate ceasefire in Ukraine during a 75-minute call on Saturday.
24,"Macron and Scholz also appealed to Putin to “move toward a diplomatic solution to the conflict,” according to German"
25,government spokesperson Steffen Hebestreit.
26,He said the conversation was part of ongoing international efforts to end the war in Ukraine. The two sides agreed not to
27,"disclose any further details of the talks, he added."
28,Scholz spoke to Ukrainian President Volodymyr Zelensky prior to the call with Putin about his “assessment of the current
29,"situation,"" and ""they agreed to remain in close contact,” according to the spokesperson."
30,b
31,"m. ET, M"
32,"3 42,2022"
33,"Vatican says it's available for ""any kind of mediation"" to help stop war in Ukraine"
34,From CNN's Lindsay Isaac
35,People hold a Ukrainian flag in St. Peter's Square at the Vatican on March 6. (Riccardo De Luca/Anadolu Agency/Getty Images)
36,The Vatican is willing to do “everything possible” to assist in reaching a ceasefire and brokering an end to the war in Ukraine.
37,"The Holy See is “available for any kind of mediation,” said Cardinal Pietro Parolin, the Vatican's secretary of state, in an interview"
38,with Vatican News.
39,Parolin repeated Pope Francis’ appeal for an immediate ceasefire in Ukraine during a telephone conversation with Russian
40,Foreign Minister Sergey Lavrov this week.
41,“| asked for an end to the fighting and for a negotiated solution to the conflict. | insisted on respect for the civilian population
42,"and on humanitarian corridors,” Parolin said, and he repeated the Pope's rejection of Moscow's claim that the war is a military"
43,"operation. “Words are important, and to define what is happening in Ukraine as a military operation is to fail to recognize the"
44,"reality of the facts. We are facing a war, which unfortunately claims many civilian victims, as all wars do.”"
45,The Pope's “unprecedented gesture” of visiting the Russian embassy to the Vatican the day after the invasion of Ukraine was a
46,"“personal step” in order to “express to the authorities in Moscow his concern about the escalation of the war,” Parolin said. War"
47,"is “madness,” he said, and appealed to the “consciences” of all people involved to cease fighting immediately."
48,"“We have before our eyes the terrible images coming from Ukraine. The victims among the civilians, women, elderly people,"
49,and defenseless children who have paid with their lives for the folly of war. The anguish grows as we see cities with gutted
50,"houses, no electricity, sub-zero temperatures, lack of food and medicine, as well as millions of refugees, mostly women and"
51,"children, fleeing the bombs. Over the last few days, | have come across a group of them, who have arrived in Italy from various"
